TelemetryCycle,OnBoardTime,Throttle1,Throttle2,Tachometer1,Tachometer2,Tachometer3,Tachometer4,MeasuredSpeed1,MeasuredSpeed2,MeasuredSpeed3,MeasuredSpeed4,SetpointSpeed1,SetpointSpeed2,StatusFlags
211,127385,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
212,127785,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
212,127985,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
213,128385,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
213,128585,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
214,128985,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2
214,129185,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2
215,129585,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2
215,129785,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2
216,130185,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2
216,130385,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2
217,130785,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2
217,130985,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2
218,131385,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2
218,131585,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2
219,131985,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
219,132185,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
220,132585,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
220,132785,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
221,133185,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
221,133385,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
222,133785,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
222,133985,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
223,134385,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
223,134585,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
224,134985,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
224,135185,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
225,135585,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
225,135785,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
226,136185,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
226,136385,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
227,136785,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
